event_type,canonical_regime,canonical_family,default_executable,detector,enabled,tags,instrument_classes,sequence_eligible,subtype,phase,evidence_mode,layer,disposition,asset_scope,venue_scope,research_only,strategy_only,is_composite,is_context_tag,is_strategy_construct,deconflict_priority,reports_dir,events_file,signal_column,templates,horizons,conditioning_cols,max_candidates_per_run,threshold_parameters
LIQUIDITY_VACUUM,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,LiquidityVacuumDetector,True,liquidity_stress|high_urgency,crypto|futures,True,liquidity_vacuum,collapse,direct,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,liquidity_vacuum,liquidity_vacuum_events.parquet,liquidity_vacuum_event,mean_reversion|stop_run_repair|overshoot_repair|continuation|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,1000,"{""auc_horizon_bars"": 96, ""cooldown_bars"": 12, ""max_vacuum_bars"": 96, ""merge_gap_bars"": 2, ""min_events_calibration"": 1, ""min_occurrences"": 3, ""min_vacuum_bars"": 1, ""post_horizon_bars"": 96, ""range_expansion_threshold"": 0.02, ""range_multiplier"": 1.05, ""range_window"": 24, ""shock_quantile"": 0.99, ""shock_quantiles"": ""0.5,0.6,0.7"", ""shock_threshold_mode"": ""rolling"", ""vol_ratio_floor"": 0.95, ""volume_window"": 24}"
MOMENTUM_DIVERGENCE_TRIGGER,TREND_FAILURE_EXHAUSTION,FORCED_FLOW_AND_EXHAUSTION,True,MomentumDivergenceDetector,True,exhaustion,crypto|futures,True,momentum_divergence,exhaustion,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,forced_flow_and_exhaustion,forced_flow_and_exhaustion_events.parquet,momentum_divergence_trigger_event,,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cascade_window_bars"": 12, ""cooldown_bars"": 96, ""liquidation_spike_z_threshold"": 3.0, ""max_trend_persistence_bars"": 72, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""slow_trend_quantile"": 0.7}"
OI_FLUSH,POSITIONING_UNWIND_DELEVERAGING,POSITIONING_EXTREMES,True,OIFlushDetector,True,oi_dynamic|high_urgency,crypto|futures,True,oi_flush,unwind,direct,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,oi_shocks,oi_shock_events.parquet,oi_flush_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|only_if_regime|only_if_highvol|tail_risk_avoid,5m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cooldown_bars"": 0, ""merge_gap_bars"": 1, ""min_occurrences"": 0, ""oi_window"": 96, ""spike_z_th"": 2.5}"
OI_SPIKE_NEGATIVE,POSITIONING_EXPANSION,POSITIONING_EXTREMES,True,OISpikeNegativeDetector,True,oi_dynamic,crypto|futures,True,oi_spike_negative,expansion,direct,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,oi_shocks,oi_shock_events.parquet,oi_spike_neg_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid,5m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,250,"{""cooldown_bars"": 0, ""merge_gap_bars"": 1, ""min_occurrences"": 0, ""oi_window"": 96, ""spike_z_th"": 2.5}"
OI_SPIKE_POSITIVE,POSITIONING_EXPANSION,POSITIONING_EXTREMES,True,OISpikePositiveDetector,True,oi_dynamic,crypto|futures,True,oi_spike_positive,expansion,direct,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,oi_shocks,oi_shock_events.parquet,oi_spike_pos_event,reversal_or_squeeze|mean_reversion|continuation|exhaustion_reversal|convexity_capture|only_if_funding|only_if_oi|tail_risk_avoid,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,250,"{""cooldown_bars"": 0, ""merge_gap_bars"": 1, ""min_occurrences"": 0, ""oi_window"": 96, ""spike_z_th"": 2.5}"
ORDERFLOW_IMBALANCE_SHOCK,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,OrderflowImbalanceDetector,True,orderflow_imbalance,crypto|futures,True,orderflow_imbalance,shock,direct,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_dislocation,liquidity_dislocation_events.parquet,orderflow_imbalance_shock_event,mean_reversion|continuation|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 0, ""min_history_bars"": 288, ""min_occurrences"": 0, ""min_volume_quantile"": 0.2, ""ret_quantile"": 0.998, ""ret_window"": 288, ""rv_quantile"": 0.92, ""rv_window"": 288, ""vol_quantile"": 0.92, ""vol_window"": 288, ""z_threshold"": 3.0}"
OVERSHOOT_AFTER_SHOCK,STATISTICAL_STRETCH_OVERSHOOT,STATISTICAL_DISLOCATION,True,OvershootDetector,True,statistical_stretch,crypto|futures,True,overshoot_after_shock,overshoot,statistical,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,statistical_dislocation,statistical_dislocation_events.parquet,overshoot_after_shock_event,mean_reversion|overshoot_repair|tail_risk_avoid,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""band_z_threshold"": 3.0, ""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""price_quantile"": 0.95, ""rv_quantile"": 0.95}"
POST_DELEVERAGING_REBOUND,POSITIONING_UNWIND_DELEVERAGING,FORCED_FLOW_AND_EXHAUSTION,True,PostDeleveragingReboundDetector,True,,,True,post_deleveraging_rebound,recovery,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,forced_flow_and_exhaustion,forced_flow_and_exhaustion_events.parquet,post_deleveraging_rebound_event,,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,400,"{""cluster_window"": 12, ""cooldown_bars"": 24, ""liq_cooldown_ratio"": 0.55, ""liquidation_abs_min"": 25.0, ""liquidation_cooldown_abs_max"": 100000.0, ""liquidation_multiplier"": 0.9, ""liquidation_quantile"": 0.85, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""oi_drop_abs_min"": 5.0, ""oi_drop_quantile"": 0.8, ""post_cluster_lookback"": 48, ""rebound_quantile"": 0.7, ""rebound_return_min"": 0.001, ""rebound_window"": 6, ""rebound_window_bars"": 12, ""return_abs_min"": 0.0025, ""return_quantile"": 0.75, ""reversal_quantile"": 0.65, ""reversal_window"": 3, ""rv_peak_decay_ratio"": 1.01, ""spread_abs_min"": 5.0, ""spread_quantile"": 0.7, ""threshold_window"": 2880, ""wick_quantile"": 0.7, ""wick_ratio_min"": 0.55}"
PRICE_VOL_IMBALANCE_PROXY,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,PriceVolImbalanceProxyDetector,True,,,True,price_vol_imbalance,shock,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_dislocation,liquidity_dislocation_events.parquet,price_vol_imbalance_proxy_event,mean_reversion|continuation|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 24, ""merge_gap_bars"": 0, ""min_history_bars"": 288, ""min_occurrences"": 0, ""min_spacing"": 24, ""ret_quantile"": 0.995, ""ret_window"": 288, ""rv_quantile"": 0.9, ""rv_window"": 288, ""vol_window"": 288, ""volume_quantile"": 0.9}"
PULLBACK_PIVOT,TREND_CONTINUATION,TREND_STRUCTURE,True,PullbackPivotDetector,True,trend_momentum,crypto|futures,True,pullback_pivot,recovery,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,trend_structure,trend_structure_events.parquet,pullback_pivot_event,breakout_followthrough|false_breakout_reversal|pullback_entry|trend_continuation|continuation|only_if_trend,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,450,"{""breakout_z_threshold"": 2.5, ""cooldown_bars"": 12, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""trend_window"": 288}"
RANGE_BREAKOUT,TREND_CONTINUATION,TREND_STRUCTURE,True,RangeBreakoutDetector,True,trend_momentum,crypto|futures,True,range_breakout,breakout,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,trend_structure,trend_structure_events.parquet,range_breakout_event,breakout_followthrough|false_breakout_reversal|pullback_entry|trend_continuation|continuation|only_if_trend,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,450,"{""breakout_z_threshold"": 2.5, ""cooldown_bars"": 12, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""trend_window"": 288}"
RANGE_COMPRESSION_END,VOLATILITY_RELAXATION_COMPRESSION_RELEASE,VOLATILITY_TRANSITION,True,RangeCompressionDetector,True,vol_regime,crypto|futures,True,range_compression_end,breakout,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,volatility_transition,volatility_transition_events.parquet,range_compression_end_event,mean_reversion|continuation|trend_continuation|volatility_expansion_follow|pullback_entry|only_if_regime,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""compression_quantile"": 0.1, ""cooldown_bars"": 12, ""expansion_z_threshold"": 2.5, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""vol_lookback_window"": 288}"
SCHEDULED_NEWS_WINDOW_EVENT,SCHEDULED_TEMPORAL_WINDOW,TEMPORAL_STRUCTURE,False,ScheduledNewsDetector,True,temporal_anchor,crypto|futures,True,scheduled_news_window,window,contextual,context_tag,demote,multi_asset,market_wide,False,False,False,True,False,0,temporal_structure,temporal_structure_events.parquet,scheduled_news_window_event,mean_reversion|continuation,5m|15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,300,"{""cooldown_bars"": 12, ""event_spacing_bars"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0}"
SEQ_FND_EXTREME_THEN_BREAKOUT,BASIS_FUNDING_DISLOCATION,POSITIONING_EXTREMES,False,EventSequenceDetector,True,funding_crowding|sequence,crypto|futures,False,funding_extreme_then_breakout,confirmation,sequence_confirmed,composite,demote,single_asset,cross_venue,True,False,True,False,False,0,event_sequences,event_sequences.parquet,seq_fnd_extreme_then_breakout_event,,5m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,250,"{""cooldown_bars"": 24, ""max_gap_bars"": 96, ""merge_gap_bars"": 1, ""min_occurrences"": 0}"
SEQ_LIQ_VACUUM_THEN_DEPTH_RECOVERY,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,False,EventSequenceDetector,True,liquidity_stress|absorption_recovery|sequence,crypto|futures,False,liquidity_vacuum_then_depth_recovery,confirmation,sequence_confirmed,composite,demote,single_asset,single_venue,True,False,True,False,False,0,event_sequences,event_sequences.parquet,seq_liq_vacuum_then_depth_recovery_event,,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,400,"{""cooldown_bars"": 24, ""max_gap_bars"": 48, ""merge_gap_bars"": 1, ""min_occurrences"": 0}"
SEQ_OI_SPIKEPOS_THEN_VOL_SPIKE,POSITIONING_EXPANSION,POSITIONING_EXTREMES,False,EventSequenceDetector,True,oi_dynamic|sequence,crypto|futures,False,oi_spike_positive_then_vol_spike,confirmation,sequence_confirmed,composite,demote,single_asset,single_venue,True,False,True,False,False,0,event_sequences,event_sequences.parquet,seq_oi_spikepos_then_vol_spike_event,,5m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,250,"{""cooldown_bars"": 24, ""max_gap_bars"": 48, ""merge_gap_bars"": 1, ""min_occurrences"": 0}"
SEQ_VOL_COMP_THEN_BREAKOUT,VOLATILITY_RELAXATION_COMPRESSION_RELEASE,VOLATILITY_TRANSITION,False,EventSequenceDetector,True,vol_regime|sequence,crypto|futures,False,vol_compression_then_breakout,confirmation,sequence_confirmed,composite,demote,single_asset,single_venue,True,False,True,False,False,0,event_sequences,event_sequences.parquet,seq_vol_comp_then_breakout_event,,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""cooldown_bars"": 24, ""max_gap_bars"": 48, ""merge_gap_bars"": 1, ""min_occurrences"": 0}"
SESSION_CLOSE_EVENT,SCHEDULED_TEMPORAL_WINDOW,TEMPORAL_STRUCTURE,False,SessionCloseDetector,True,temporal_anchor,crypto|futures,True,session_close,window,contextual,context_tag,demote,multi_asset,market_wide,False,False,False,True,False,0,temporal_structure,temporal_structure_events.parquet,session_close_event,mean_reversion|continuation,5m|15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,300,"{""cooldown_bars"": 12, ""event_spacing_bars"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""session_range_quantile"": 0.0, ""session_vol_z_min"": null}"
SESSION_OPEN_EVENT,SCHEDULED_TEMPORAL_WINDOW,TEMPORAL_STRUCTURE,False,SessionOpenDetector,True,temporal_anchor,crypto|futures,True,session_open,window,contextual,context_tag,demote,multi_asset,market_wide,False,False,False,True,False,0,temporal_structure,temporal_structure_events.parquet,session_open_event,mean_reversion|continuation,5m|15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,300,"{""cooldown_bars"": 12, ""event_spacing_bars"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""session_range_quantile"": 0.0, ""session_vol_z_min"": null}"
SLIPPAGE_SPIKE_EVENT,EXECUTION_FRICTION,EXECUTION_FRICTION,True,SlippageSpikeDetector,True,execution_cost|high_urgency,crypto|futures,True,slippage_spike,shock,direct,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,execution_friction,execution_friction_events.parquet,slippage_spike_event,slippage_aware_filter|tail_risk_avoid,5m|15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,300,"{""cooldown_bars"": 12, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""slippage_z_threshold"": 3.0, ""spread_z_threshold"": 3.0}"
SPOT_PERP_BASIS_SHOCK,BASIS_FUNDING_DISLOCATION,INFORMATION_DESYNC,True,SpotPerpBasisShockDetector,True,desync|basis_dislocation|high_urgency,crypto|futures,True,spot_perp_basis_shock,shock,inferred_cross_asset,canonical,merge,single_asset,cross_venue,False,False,False,False,False,0,information_desync,information_desync_events.parquet,spot_perp_basis_shock_event,desync_repair|convergence|basis_repair|lead_lag_follow|divergence_continuation,5m|15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cooldown_bars"": 12, ""lead_lag_window"": 60, ""merge_gap_bars"": 0, ""min_basis_bps"": 15.0, ""min_occurrences"": 0, ""shock_change_quantile"": 0.95, ""z_threshold"": 5.0}"
SPREAD_BLOWOUT,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,SpreadBlowoutDetector,True,liquidity_stress|execution_cost,crypto|futures,True,spread_widening,shock,direct,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_dislocation,liquidity_dislocation_events.parquet,spread_blowout_event,mean_reversion|continuation|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""min_volume_quantile"": 0.2, ""z_threshold"": 3.0}"
SPREAD_REGIME_WIDENING_EVENT,EXECUTION_FRICTION,EXECUTION_FRICTION,True,SpreadRegimeWideningDetector,True,execution_cost|liquidity_stress,crypto|futures,True,spread_regime_widening,persistence,direct,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,execution_friction,execution_friction_events.parquet,spread_regime_widening_event,slippage_aware_filter|tail_risk_avoid,5m|15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,300,"{""cooldown_bars"": 48, ""lookback_window"": 2880, ""low_volume_quantile"": 0.25, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""min_periods"": 288, ""min_spacing"": 48, ""trend_window"": 24}"
SUPPORT_RESISTANCE_BREAK,TREND_CONTINUATION,TREND_STRUCTURE,True,SREventDetector,True,trend_momentum,crypto|futures,True,support_resistance_break,breakout,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,trend_structure,trend_structure_events.parquet,support_resistance_break_event,breakout_followthrough|false_breakout_reversal|pullback_entry|trend_continuation|continuation|only_if_trend,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,450,"{""breakout_z_threshold"": 2.5, ""cooldown_bars"": 12, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""trend_window"": 288}"
SWEEP_STOPRUN,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,StopRunDetector,True,orderflow_imbalance|high_urgency,crypto|futures,True,sweep_stoprun,shock,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_dislocation,liquidity_dislocation_events.parquet,sweep_stoprun_event,mean_reversion|continuation|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""min_volume_quantile"": 0.2, ""z_threshold"": 3.0}"
TREND_ACCELERATION,TREND_CONTINUATION,TREND_STRUCTURE,True,TrendAccelerationDetector,True,trend_momentum,crypto|futures,True,trend_acceleration,persistence,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,trend_structure,trend_structure_events.parquet,trend_acceleration_event,breakout_followthrough|false_breakout_reversal|pullback_entry|trend_continuation|continuation|only_if_trend,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,450,"{""breakout_z_threshold"": 2.5, ""cooldown_bars"": 0, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""min_spacing"": 192, ""trend_window"": 96}"
TREND_DECELERATION,TREND_FAILURE_EXHAUSTION,TREND_STRUCTURE,True,TrendDecelerationDetector,True,trend_momentum,crypto|futures,True,trend_deceleration,exhaustion,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,trend_structure,trend_structure_events.parquet,trend_deceleration_event,breakout_followthrough|false_breakout_reversal|pullback_entry|trend_continuation|continuation|only_if_trend,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,450,"{""breakout_z_threshold"": 2.5, ""cooldown_bars"": 12, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""trend_window"": 288}"
TREND_EXHAUSTION_TRIGGER,TREND_FAILURE_EXHAUSTION,FORCED_FLOW_AND_EXHAUSTION,True,TrendExhaustionDetector,True,exhaustion|trend_momentum,crypto|futures,True,trend_exhaustion,onset,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,forced_flow_and_exhaustion,forced_flow_and_exhaustion_events.parquet,trend_exhaustion_trigger_event,,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cascade_window_bars"": 12, ""context_max_entropy"": 0.9, ""context_min_confidence"": 0.55, ""cooldown_bars"": 96, ""cooldown_quantile"": 0.35, ""cooldown_ratio"": 0.9, ""liquidation_spike_z_threshold"": 3.0, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""min_trend_duration_bars"": 72, ""pullback_quantile"": 0.7, ""pullback_window"": 96, ""reversal_alignment_window"": 3, ""reversal_quantile"": 0.65, ""reversal_window"": 3, ""slope_fast_window"": 12, ""slope_slow_window"": 48, ""threshold_window"": 2880, ""trend_peak_multiplier"": 1.3, ""trend_quantile"": 0.95, ""trend_strength_ratio"": 3.0, ""trend_window"": 96, ""vol_window"": 288}"
TREND_TO_CHOP_SHIFT,REGIME_TRANSITION,REGIME_TRANSITION,True,TrendToChopDetector,True,regime_shift|trend_momentum,crypto|futures,True,trend_to_chop,transition,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,regime_transition,regime_transition_events.parquet,trend_to_chop_shift_event,only_if_regime|continuation|mean_reversion|drawdown_filter|tail_risk_avoid,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""cooldown_bars"": 48, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""regime_window"": 288, ""transition_z_threshold"": 2.5}"
VOL_CLUSTER_SHIFT,VOLATILITY_EXPANSION,VOLATILITY_TRANSITION,True,VolClusterShiftDetector,True,vol_regime,crypto|futures,True,vol_cluster_shift,persistence,statistical,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,volatility_transition,volatility_transition_events.parquet,vol_cluster_shift_event,mean_reversion|continuation|trend_continuation|volatility_expansion_follow|pullback_entry|only_if_regime,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""compression_quantile"": 0.1, ""cooldown_bars"": 12, ""expansion_z_threshold"": 2.5, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""vol_lookback_window"": 288}"
VOL_REGIME_SHIFT_EVENT,REGIME_TRANSITION,REGIME_TRANSITION,True,VolRegimeShiftDetector,True,regime_shift|vol_regime,crypto|futures,True,vol_regime_shift,transition,statistical,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,regime_transition,regime_transition_events.parquet,vol_regime_shift_event,only_if_regime|continuation|mean_reversion|drawdown_filter|tail_risk_avoid,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""cooldown_bars"": 48, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""regime_window"": 288, ""transition_z_threshold"": 2.5}"
VOL_RELAXATION_START,VOLATILITY_RELAXATION_COMPRESSION_RELEASE,VOLATILITY_TRANSITION,True,VolRelaxationDetector,True,vol_regime,crypto|futures,True,vol_relaxation_start,normalization,direct,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,volatility_transition,volatility_transition_events.parquet,vol_relaxation_start_event,mean_reversion|continuation|trend_continuation|volatility_expansion_follow|pullback_entry|only_if_regime,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""compression_quantile"": 0.1, ""cooldown_bars"": 12, ""expansion_z_threshold"": 2.5, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""vol_lookback_window"": 288}"
VOL_SHOCK,VOLATILITY_TRANSITION,VOLATILITY_TRANSITION,True,VolShockRelaxationDetector,True,vol_regime|high_urgency,crypto|futures,True,vol_shock,shock,statistical,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,vol_shock_relaxation,vol_shock_relaxation_events.parquet,vol_shock_relaxation_event,mean_reversion|continuation|trend_continuation,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cooldown_bars"": 0, ""merge_gap_bars"": 1, ""min_occurrences"": 0, ""phase_tolerance_bars"": 16, ""shock_quantile"": 0.9}"
VOL_SPIKE,VOLATILITY_EXPANSION,VOLATILITY_TRANSITION,True,VolSpikeDetector,True,vol_regime|high_urgency,crypto|futures,True,vol_spike,shock,direct,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,volatility_transition,volatility_transition_events.parquet,vol_spike_event,mean_reversion|continuation|trend_continuation|volatility_expansion_follow|pullback_entry|only_if_regime,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cooldown_bars"": 6, ""merge_gap_bars"": 1, ""min_occurrences"": 5}"
WICK_REVERSAL_PROXY,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,WickReversalProxyDetector,True,,,True,wick_reversal,recovery,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_dislocation,liquidity_dislocation_events.parquet,wick_reversal_proxy_event,mean_reversion|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""min_volume_quantile"": 0.2, ""z_threshold"": 3.0}"
ZSCORE_STRETCH,STATISTICAL_STRETCH_OVERSHOOT,STATISTICAL_DISLOCATION,True,ZScoreStretchDetector,True,statistical_stretch,crypto|futures,True,zscore_stretch,stretch,statistical,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,statistical_dislocation,statistical_dislocation_events.parquet,zscore_stretch_event,mean_reversion|overshoot_repair|tail_risk_avoid,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""band_z_threshold"": 3.0, ""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""zscore_quantile"": 0.96}"
